UUID;Version;Name (de);Name (en);Kategorie (original);Kategorie (en);Konformitaet;Hintergrunddatenbank(en);Laenderkennung;Typ;Referenzjahr;Gueltig bis;URL;Declaration owner;Veroeffentlicht am;Registrierungsnummer;Registrierungsstelle;UUID des Vorgaengers;Version des Vorgaengers;URL des Vorgaengers;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Stueckgewicht (kg);Umrechungsfaktor auf 1kg;biogener Kohlenstoffgehalt in kg;biogener Kohlenstoffgehalt (Verpackung) in kg;Modul;Szenario;Szenariobeschreibung;GWP;ODP;POCP;AP;EP;ADPE;ADPF;PERE;PERM;PERT;PENRE;PENRM;PENRT;SM;RSF;NRSF;FW;HWD;NHWD;RWD;CRU;MFR;MER;EEE;EET;AP (A2);GWPtotal (A2);GWPbiogenic (A2);GWPfossil (A2);GWPluluc (A2);ETPfw (A2);PM (A2);EPmarine (A2);EPfreshwater (A2);EPterrestrial (A2);HTPc (A2);HTPnc (A2);IRP (A2);SOP (A2);ODP (A2);POCP (A2);ADPF (A2);ADPE (A2);WDP (A2);RMI_FOSSILE;RMI_METALS;RMI_MINERALS;RMI_FORESTRY;RMI_AGRICULTURE;RMI_FISHERIES;RMI_ABIOTIC_SUBTOTAL;RMI_BIOTIC_SUBTOTAL;RMI_TOTAL;TMR_FOSSILE;TMR_METALS;TMR_MINERALS;TMR_FORESTRY;TMR_AGRICULTURE;TMR_FISHERIES;TMR_ABIOTIC_SUBTOTAL;TMR_BIOTIC_SUBTOTAL;TMR_TOTAL;
b1e401ba-5a54-4ba4-97aa-bbe707aa4647;00.01.000;;Woven glass fibre wall covering;;;'EN 15804+A2';;DE;specific dataset;2024;2029;;;2024-01-09;EPD-VIT-20230430-CBC1-EN;Institut Bauen und Umwelt e.V. (IBU);;;;1;qm;;1 m2 of woven glass fibre wall covering with an average grammage of around 0.145 kg/m2.;;;;;;;;;;;A1-A3;;;;;;;;;;2.31;0.328;2.64;12.4;0.0495;12.4;0.00957;0;0;0.00489;0.000000421;0.0605;0.000495;0;0;0;0;0;0.00363;0.704;-0.0474;0.752;0.000244;3.8;0.00000004;0.000785;0.0000054;0.00843;0.000000000486;0.0000000482;0.0534;7.13;0.0000000000038;0.00223;12.4;0.000000162;0.102;;;;;;;;;;;;;;;;;;;
b1e401ba-5a54-4ba4-97aa-bbe707aa4647;00.01.000;;Woven glass fibre wall covering;;;'EN 15804+A2';;DE;specific dataset;2024;2029;;;2024-01-09;EPD-VIT-20230430-CBC1-EN;Institut Bauen und Umwelt e.V. (IBU);;;;1;qm;;1 m2 of woven glass fibre wall covering with an average grammage of around 0.145 kg/m2.;;;;;;;;;;;A4;;;;;;;;;;0.000952;0;0.000952;0.0138;0;0.0138;0;0;0;0.0000011;0.0000000000000729;0.00000225;0.0000000256;0;0;0;0;0;0.00000113;0.00104;0.00000431;0.00103;0.00000705;0.00973;0.00000000000792;0.000000355;0.00000000374;0.00000427;0.000000000000201;0.0000000000108;0.00000386;0.00581;0.000000000000000103;0.000000966;0.0137;0.000000000105;0.0000117;;;;;;;;;;;;;;;;;;;
b1e401ba-5a54-4ba4-97aa-bbe707aa4647;00.01.000;;Woven glass fibre wall covering;;;'EN 15804+A2';;DE;specific dataset;2024;2029;;;2024-01-09;EPD-VIT-20230430-CBC1-EN;Institut Bauen und Umwelt e.V. (IBU);;;;1;qm;;1 m2 of woven glass fibre wall covering with an average grammage of around 0.145 kg/m2.;;;;;;;;;;;A5;;;;;;;;;;0.45;-0.328;0.122;0.623;-0.0495;0.573;0.000433;0;0;0.00032;0.0000000191;0.00999;0.000023;0;0;0;0.0303;0.0542;0.000173;0.07;0.0314;0.0386;0.0000119;0.178;0.00000000186;0.0000384;0.000000246;0.000419;0.0000000000224;0.00000000221;0.0025;0.326;0.000000000000176;0.000108;0.573;0.00000000745;0.00878;;;;;;;;;;;;;;;;;;;
b1e401ba-5a54-4ba4-97aa-bbe707aa4647;00.01.000;;Woven glass fibre wall covering;;;'EN 15804+A2';;DE;specific dataset;2024;2029;;;2024-01-09;EPD-VIT-20230430-CBC1-EN;Institut Bauen und Umwelt e.V. (IBU);;;;1;qm;;1 m2 of woven glass fibre wall covering with an average grammage of around 0.145 kg/m2.;;;;;;;;;;;C1;;;;;;;;;;0.0149;0;0.0149;0.0269;0;0.0269;0;0;0;0.0000142;0.00000000000232;0.0000202;0.00000429;0;0;0;0;0;0.00000325;0.00149;0.0000133;0.00148;0.000000313;0.0118;0.0000000000269;0.000000729;0.00000000432;0.00000765;0.000000000000338;0.0000000000124;0.000727;0.00968;0.0000000000000217;0.00000197;0.0269;0.000000000403;0.000338;;;;;;;;;;;;;;;;;;;
b1e401ba-5a54-4ba4-97aa-bbe707aa4647;00.01.000;;Woven glass fibre wall covering;;;'EN 15804+A2';;DE;specific dataset;2024;2029;;;2024-01-09;EPD-VIT-20230430-CBC1-EN;Institut Bauen und Umwelt e.V. (IBU);;;;1;qm;;1 m2 of woven glass fibre wall covering with an average grammage of around 0.145 kg/m2.;;;;;;;;;;;C2;;;;;;;;;;0.000562;0;0.000562;0.00814;0;0.00814;0;0;0;0.000000649;0.0000000000000431;0.00000133;0.0000000151;0;0;0;0;0;0.00000073;0.000613;0.00000254;0.000606;0.00000416;0.00575;0.00000000000486;0.000000243;0.00000000221;0.00000289;0.000000000000118;0.00000000000642;0.00000228;0.00343;0.0000000000000000607;0.000000634;0.00811;0.0000000000623;0.00000691;;;;;;;;;;;;;;;;;;;
b1e401ba-5a54-4ba4-97aa-bbe707aa4647;00.01.000;;Woven glass fibre wall covering;;;'EN 15804+A2';;DE;specific dataset;2024;2029;;;2024-01-09;EPD-VIT-20230430-CBC1-EN;Institut Bauen und Umwelt e.V. (IBU);;;;1;qm;;1 m2 of woven glass fibre wall covering with an average grammage of around 0.145 kg/m2.;;;;;;;;;;;C3;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
b1e401ba-5a54-4ba4-97aa-bbe707aa4647;00.01.000;;Woven glass fibre wall covering;;;'EN 15804+A2';;DE;specific dataset;2024;2029;;;2024-01-09;EPD-VIT-20230430-CBC1-EN;Institut Bauen und Umwelt e.V. (IBU);;;;1;qm;;1 m2 of woven glass fibre wall covering with an average grammage of around 0.145 kg/m2.;;;;;;;;;;;C4;;;;;;;;;;0.00424;0;0.00424;0.0283;0;0.0283;0;0;0;0.00000718;0.00000000000145;0.145;0.000000314;0;0;0;0;0;0.0000153;0.023;0.0208;0.00216;0.00000398;0.0158;0.000000000188;0.00000391;0.00000000365;0.000043;0.00000000000242;0.000000000267;0.0000349;0.00588;0.00000000000000507;0.0000119;0.0282;0.000000000221;0.000236;;;;;;;;;;;;;;;;;;;
b1e401ba-5a54-4ba4-97aa-bbe707aa4647;00.01.000;;Woven glass fibre wall covering;;;'EN 15804+A2';;DE;specific dataset;2024;2029;;;2024-01-09;EPD-VIT-20230430-CBC1-EN;Institut Bauen und Umwelt e.V. (IBU);;;;1;qm;;1 m2 of woven glass fibre wall covering with an average grammage of around 0.145 kg/m2.;;;;;;;;;;;D;;;;;;;;;;-0.0301;0;-0.0301;-0.109;0;-0.109;0;0;0;-0.0000289;-0.0000000000148;-0.0000553;-0.00000862;0;0;0;0;0;-0.00000846;-0.00646;-0.0000329;-0.00642;-0.000000707;-0.024;-0.0000000000701;-0.00000229;-0.00000000885;-0.0000246;-0.0000000000011;-0.0000000000423;-0.00146;-0.0195;-0.0000000000000435;-0.00000642;-0.109;-0.000000000971;-0.000685;;;;;;;;;;;;;;;;;;;
f4a96970-a92e-4992-8a0c-ca4ed3a6bc65;00.01.000;;ARDEX X 90;;;'EN 15804+A2';;DE;specific dataset;2024;2029;;;2024-02-16;EPD-ADX-20230537-IBA1-DE;Institut Bauen und Umwelt e.V. (IBU);;;;1;kg;;1 kg;;;;;;;;;;;A1-A3;;;;;;;;;;1.55;0.243;1.8;3.98;2.08;6.05;0;0;0;0.00219;0.000576;0.141;0.0000656;0;0;0;0;0;0.002;0.593;-0.0288;0.622;0.000479;;;0.000699;0.00000984;0.00608;;;;;0.0000000124;0.00144;6.02;0.000000789;0.108;;;;;;;;;;;;;;;;;;;
f4a96970-a92e-4992-8a0c-ca4ed3a6bc65;00.01.000;;ARDEX X 90;;;'EN 15804+A2';;DE;specific dataset;2024;2029;;;2024-02-16;EPD-ADX-20230537-IBA1-DE;Institut Bauen und Umwelt e.V. (IBU);;;;1;kg;;1 kg;;;;;;;;;;;A4;;;;;;;;;;0.11;0;0.11;1.64;0;1.64;0;0;0;0.0000977;0.00000000000276;0.000245;0.00000216;0;0;0;0;0;0.000241;0.12;0;0.119;0.00072;;;0.000104;0.000000284;0.00118;;;;;0.0000000000000297;0.000221;1.64;0.00000000872;0.000632;;;;;;;;;;;;;;;;;;;
